Course Name,Course Description,Professor Name and Link
1. CISC-820-01,Computer Science I,Anthony Audi (https://www.ratemyprofessors.com/search/professors/807?q=Anthony%20Audi)
CISC-865,Computer Science II,Sean Strout (https://www.ratemyprofessors.com/search/professors/807?q=Sean%20Strout)
1. CISC-865-01,Computer Science II,Sean Strout (https://www.ratemyprofessors.com/search/professors/807?q=Sean%20Strout)
CISC-890,Comp Sci for Trans Students,Anthony Audi (https://www.ratemyprofessors.com/search/professors/807?q=Anthony%20Audi)
1. CISC-890-01,The Mechanics of Programming,Abeer Ahmad (https://www.ratemyprofessors.com/search/professors/807?q=Abeer%20Ahmad)
CISC-896,The Mechanics of Programming,Abeer Ahmad (https://www.ratemyprofessors.com/search/professors/807?q=Abeer%20Ahmad)
1. CISC-896-01,The Mechanics of Programming,Abeer Ahmad (https://www.ratemyprofessors.com/search/professors/807?q=Abeer%20Ahmad)
CISC-897,The Mechanics of Programming,Abeer Ahmad (https://www.ratemyprofessors.com/search/professors/807?q=Abeer%20Ahmad)
1. CISC-897-01,The Mechanics of Programming,Warren Carithers (https://www.ratemyprofessors.com/search/professors/807?q=Warren%20Carithers)
CISC-898,Concepts of Computer Systems,Philip White (https://www.ratemyprofessors.com/search/professors/807?q=Philip%20White)
1. CISC-898-01,Concepts of Computer Systems,Philip White (https://www.ratemyprofessors.com/search/professors/807?q=Philip%20White)
CISC-899,Concepts of Computer Systems,Philip White (https://www.ratemyprofessors.com/search/professors/807?q=Philip%20White)
1. CISC-899-01,Conc of Par & Dist Systems,Ifeoluwatayo Ige (https://www.ratemyprofessors.com/search/professors/807?q=Ifeoluwatayo%20Ige)
CSCI,Conc of Par & Dist Systems,Ifeoluwatayo Ige (https://www.ratemyprofessors.com/search/professors/807?q=Ifeoluwatayo%20Ige)
CSCI-140,Conc of Par & Dist Systems,Ifeoluwatayo Ige (https://www.ratemyprofessors.com/search/professors/807?q=Ifeoluwatayo%20Ige)
1. CSCI-140-01,Conc of Par & Dist Systems,Ifeoluwatayo Ige (https://www.ratemyprofessors.com/search/professors/807?q=Ifeoluwatayo%20Ige)
2. CSCI-140-02,Analysis of Algorithms,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
3. CSCI-140-03,Analysis of Algorithms,Ting Cao (https://www.ratemyprofessors.com/search/professors/807?q=Ting%20Cao)
4. CSCI-140-04,Analysis of Algorithms,Ivona Bezakova (https://www.ratemyprofessors.com/search/professors/807?q=Ivona%20Bezakova)
CSCI-141,Intro to Comp Science Theory,Arthur Nunes (https://www.ratemyprofessors.com/search/professors/807?q=Arthur%20Nunes)
1. CSCI-141-01,Intro to Comp Science Theory,Arthur Nunes (https://www.ratemyprofessors.com/search/professors/807?q=Arthur%20Nunes)
2. CSCI-141-02,Intro to Comp Science Theory,Aaron Deever (https://www.ratemyprofessors.com/search/professors/807?q=Aaron%20Deever)
3. CSCI-141-03,Honors Analysis of Algorithms,Ivona Bezakova (https://www.ratemyprofessors.com/search/professors/807?q=Ivona%20Bezakova)
4. CSCI-141-04,Principles of Data Management,Scott Johnson (https://www.ratemyprofessors.com/search/professors/807?q=Scott%20Johnson)
5. CSCI-141-05,Principles of Data Management,Jeremy Brown (https://www.ratemyprofessors.com/search/professors/807?q=Jeremy%20Brown)
6. CSCI-141-06,Principles of Data Management,Md Towhidul Absar Chowdhury (https://www.ratemyprofessors.com/search/professors/807?q=Md%20Towhidul%20Absar%20Chowdhury)
CSCI-142,Intro Artificial Intelligence,Thomas Borrelli (https://www.ratemyprofessors.com/search/professors/807?q=Thomas%20Borrelli)
1. CSCI-142-01,Intro Artificial Intelligence,Jansen Orfan (https://www.ratemyprofessors.com/search/professors/807?q=Jansen%20Orfan)
2. CSCI-142-02,Intro Artificial Intelligence,Jansen Orfan (https://www.ratemyprofessors.com/search/professors/807?q=Jansen%20Orfan)
CSCI-242,Intro Artificial Intelligence,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
1. CSCI-242-01,Intro Artificial Intelligence,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
CSCI-243,Machine Learning,Richard Zanibbi (https://www.ratemyprofessors.com/search/professors/807?q=Richard%20Zanibbi)
1. CSCI-243-01,Machine Learning,Eduardo Coelho De Lima (https://www.ratemyprofessors.com/search/professors/807?q=Eduardo%20Coelho%20De%20Lima)
2. CSCI-243-02,Machine Learning,- To Be Determined (https://www.ratemyprofessors.com/search/professors/807?q=-%20To%20Be%20Determined)
3. CSCI-243-03,Programming Language Concepts,Scott Johnson (https://www.ratemyprofessors.com/search/professors/807?q=Scott%20Johnson)
4. CSCI-243-04,Programming Language Concepts,Scott Johnson (https://www.ratemyprofessors.com/search/professors/807?q=Scott%20Johnson)
5. CSCI-243-05,Programming Language Concepts,Matthew Fluet (https://www.ratemyprofessors.com/search/professors/807?q=Matthew%20Fluet)
CSCI-250,Data Comm & Networks,Bruce Hartpence (https://www.ratemyprofessors.com/search/professors/807?q=Bruce%20Hartpence)
1. CSCI-250-01,Operating Systems,Warren Carithers (https://www.ratemyprofessors.com/search/professors/807?q=Warren%20Carithers)
2. CSCI-250-02,Principles of Data Mining,Thomas Kinsman (https://www.ratemyprofessors.com/search/professors/807?q=Thomas%20Kinsman)
3. CSCI-250-03,Principles of Data Mining,Thomas Kinsman (https://www.ratemyprofessors.com/search/professors/807?q=Thomas%20Kinsman)
CSCI-251,Intro to Computer Vision,Fawad Ahmad (https://www.ratemyprofessors.com/search/professors/807?q=Fawad%20Ahmad)
1. CSCI-251-01,Introduction to Cryptography,Stanislaw Radziszowski (https://www.ratemyprofessors.com/search/professors/807?q=Stanislaw%20Radziszowski)
2. CSCI-251-02,Introduction to Cryptography,Michael Kurdziel (https://www.ratemyprofessors.com/search/professors/807?q=Michael%20Kurdziel)
3. CSCI-251-03,Introduction to Cryptography,Thomas Borrelli (https://www.ratemyprofessors.com/search/professors/807?q=Thomas%20Borrelli)
4. CSCI-251-04,Introduction to Cryptography,Wesam Almobaideen (https://www.ratemyprofessors.com/search/professors/807?q=Wesam%20Almobaideen)
